orf_id	associated_transcript_id	trans_len	reading_frame	ORF_start	ORF_end	peptide_coverage	CPAT_score	associated_peptide_id	ORF_length(nt)
SPENO000178	SPENT000790	623	2	38	262	0.3378	0.0053	SPENP000346,SPENP001619,SPENP004251,SPENP007182,SPENP008472,SPENP013461,SPENP006902,SPENP008093,SPENP028109	225
SPENO000179	SPENT001614	2359	1	1000	1233	0.2078	0.0139	SPENP003616	234
SPENO000180	SPENT002191	1306	3	432	539	0.5143	0.0421	SPENP007354,SPENP014449,SPENP024845	108
SPENO000181	SPENT004540	35681	3	576	782	0.1912	0.0012	SPENP022602,SPENP022603	207
SPENO000182	SPENT003604	10387	1	2320	2439	0.2308	0.0003	SPENP016789	120
SPENO000183	SPENT000872	738	1	52	369	0.4	0.4293	SPENP016882,SPENP001775,SPENP013115	318
SPENO000184	SPENT001609	4096	3	4014	4064	1.0	0.0003	SPENP003615	51
SPENO000185	SPENT001850	4822	3	1344	1520	0.2759	0.0274	SPENP004306	177
SPENO000186	SPENT000869	755	3	18	209	0.2698	0.2464	SPENP000441,SPENP008535	192
SPENO000187	SPENT000869	755	3	513	653	0.6304	0.0964	SPENP001774,SPENP004693	141
SPENO000188	SPENT002735	635	2	137	298	0.3962	0.3617	SPENP007413	162
SPENO000189	SPENT001427	1897	1	556	996	0.2055	0.2767	SPENP002959	441
SPENO000190	SPENT004574	1638	2	407	1279	0.0966	0.9832	SPENP022694,SPENP022695,SPENP022758,SPENP022759	873
SPENO000191	SPENT004651	606	1	52	381	0.1927	0.4096	SPENP011898,SPENP023255,SPENP011963,SPENP023310	330
SPENO000192	SPENT005499	4427	2	2255	2338	0.6667	0.0018	SPENP014434,SPENP014417	84
SPENO000193	SPENT003462	1316	1	241	297	0.7778	0.4354	SPENP011827	57
SPENO000194	SPENT000140	1379	2	1217	1303	0.2857	0.0035	SPENP000807	87
SPENO000195	SPENT004232	1477	1	637	831	0.3281	0.0053	SPENP019646,SPENP019647,SPENP019648	195
SPENO000196	SPENT005013	5001	3	2154	2219	1.0	0.0024	SPENP024261	66
SPENO000197	SPENT005105	1530	2	17	1528	0.0736	1.0	SPENP012123,SPENP012055	1512
SPENO000198	SPENT000166	2980	2	749	895	0.1875	0.0063	SPENP000857	147
SPENO000199	SPENT001748	457	2	98	457	0.3109	0.4711	SPENP004138,SPENP015963,SPENP020247,SPENP020015,SPENP015819	360
SPENO000200	SPENT005060	10719	2	3512	3694	0.2	0.0058	SPENP011991	183
SPENO000201	SPENT004091	1354	2	260	436	0.4483	0.0243	SPENP012132,SPENP014628,SPENP016319,SPENP017910	177
SPENO000202	SPENT003815	6479	1	5854	6012	0.1538	0.0015	SPENP016990	159
SPENO000203	SPENT000205	575	2	158	334	0.1724	0.0155	SPENP000908	177
